7,1,1290,68,102,245,1,-1,-1,-1
8,1,1289,69,103,244,1,-1,-1,-1
9,1,1291,69,101,243,1,-1,-1,-1
10,1,1290,69,102,243,1,-1,-1,-1
11,1,1289,69,102,243,1,-1,-1,-1
11,2,1210,25,76,203,1,-1,-1,-1
12,1,1290,69,100,243,1,-1,-1,-1
12,2,1210,25,80,204,1,-1,-1,-1
13,2,1211,26,82,203,1,-1,-1,-1
14,2,1213,26,85,204,1,-1,-1,-1
15,2,1223,29,82,200,1,-1,-1,-1
16,1,1288,69,97,241,1,-1,-1,-1
16,2,1227,30,80,199,1,-1,-1,-1
17,1,1289,69,95,241,1,-1,-1,-1
17,2,1228,30,79,199,1,-1,-1,-1
18,1,1289,68,94,242,1,-1,-1,-1
18,2,1221,29,81,199,1,-1,-1,-1
19,1,1290,68,92,242,1,-1,-1,-1
19,2,1213,28,84,199,1,-1,-1,-1
20,1,1290,68,91,242,1,-1,-1,-1
20,2,1208,27,86,200,1,-1,-1,-1
21,1,1290,67,91,243,1,-1,-1,-1
21,2,1206,26,85,201,1,-1,-1,-1
22,1,1291,67,89,243,1,-1,-1,-1
22,2,1203,25,83,201,1,-1,-1,-1
23,1,1291,67,88,243,1,-1,-1,-1
23,2,1202,24,80,202,1,-1,-1,-1
24,1,1291,67,87,243,1,-1,-1,-1
24,2,1202,23,77,202,1,-1,-1,-1
25,1,1291,66,86,244,1,-1,-1,-1
25,2,1203,23,75,202,1,-1,-1,-1
26,1,1291,66,86,242,1,-1,-1,-1
26,2,1203,23,74,203,1,-1,-1,-1
27,1,1291,65,87,242,1,-1,-1,-1
27,2,1204,23,72,203,1,-1,-1,-1
28,1,1291,66,87,240,1,-1,-1,-1
28,2,1204,23,72,203,1,-1,-1,-1
29,1,1291,66,88,240,1,-1,-1,-1
29,2,1205,23,72,203,1,-1,-1,-1
30,1,1292,67,88,239,1,-1,-1,-1
30,2,1205,22,73,204,1,-1,-1,-1
31,1,1291,69,89,238,1,-1,-1,-1
31,2,1206,22,74,204,1,-1,-1,-1
32,1,1291,69,90,239,1,-1,-1,-1
32,2,1206,22,75,205,1,-1,-1,-1
33,1,1292,70,91,238,1,-1,-1,-1
33,2,1206,23,77,204,1,-1,-1,-1
34,1,1291,70,93,239,1,-1,-1,-1
34,2,1207,23,78,204,1,-1,-1,-1
35,1,1293,70,93,239,1,-1,-1,-1
35,2,1207,23,79,204,1,-1,-1,-1
36,1,1292,69,95,241,1,-1,-1,-1
36,2,1207,24,81,204,1,-1,-1,-1
37,1,1291,68,97,241,1,-1,-1,-1
37,2,1207,24,82,203,1,-1,-1,-1
